architecture,recorder_config,baseline,workload_scale,median_bytes,mean_bytes,min_bytes,max_bytes,median_reduction_vs_full_instruction_pct,median_reduction_vs_full_commit_pct,n,notes
baseline,trace_or_snapshot,branch_trace,long,45888.000000,30616.800000,7704.000000,45888.000000,81.250000,90.630000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,branch_trace,medium,23964.000000,15157.600000,1944.000000,23964.000000,81.250000,90.630000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,branch_trace,short,4728.000000,3040.800000,504.000000,4728.000000,81.290000,90.640000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,branch_trace,smoke,2484.000000,1499.200000,12.000000,2484.000000,81.310000,90.650000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,branch_trace,stress,83604.000000,62461.600000,30744.000000,83604.000000,81.250000,90.630000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_commit_trace,long,489536.000000,326635.733333,82176.000000,489568.000000,-100.000000,0.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_commit_trace,medium,255648.000000,161718.400000,20736.000000,255664.000000,-100.000000,0.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_commit_trace,short,50496.000000,32491.733333,5376.000000,50528.000000,-100.000000,0.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_commit_trace,smoke,26560.000000,16062.933333,240.000000,26576.000000,-100.000000,0.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_commit_trace,stress,891808.000000,666294.400000,327936.000000,891824.000000,-100.000000,0.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_instruction_trace,long,244768.000000,163317.866667,41088.000000,244784.000000,0.000000,50.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_instruction_trace,medium,127824.000000,80859.200000,10368.000000,127832.000000,0.000000,50.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_instruction_trace,short,25248.000000,16245.866667,2688.000000,25264.000000,0.000000,50.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_instruction_trace,smoke,13280.000000,8031.466667,120.000000,13288.000000,0.000000,50.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,full_instruction_trace,stress,445904.000000,333147.200000,163968.000000,445912.000000,0.000000,50.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_only_trace,long,3072.000000,2457.600000,1536.000000,3072.000000,98.740000,99.370000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_only_trace,medium,768.000000,614.400000,384.000000,768.000000,99.400000,99.700000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_only_trace,short,192.000000,153.600000,96.000000,192.000000,99.240000,99.620000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_only_trace,smoke,192.000000,120.000000,12.000000,192.000000,98.550000,99.280000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_only_trace,stress,12288.000000,9830.400000,6144.000000,12288.000000,97.240000,98.620000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_plus_mmio_trace,long,16380.000000,13110.400000,8196.000000,16380.000000,93.310000,96.650000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_plus_mmio_trace,medium,4092.000000,3280.000000,2052.000000,4092.000000,96.800000,98.400000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_plus_mmio_trace,short,1020.000000,822.400000,516.000000,1020.000000,95.960000,97.980000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_plus_mmio_trace,smoke,1020.000000,619.200000,12.000000,1020.000000,92.320000,96.160000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,interrupt_plus_mmio_trace,stress,65532.000000,52432.000000,32772.000000,65532.000000,85.300000,92.650000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,load_store_trace,long,24576.000000,19671.200000,12300.000000,24576.000000,89.960000,94.980000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,load_store_trace,medium,6144.000000,4925.600000,3084.000000,6144.000000,95.190000,97.600000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,load_store_trace,short,1536.000000,1239.200000,780.000000,1536.000000,93.920000,96.960000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,load_store_trace,smoke,1536.000000,933.600000,24.000000,1536.000000,88.430000,94.220000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,load_store_trace,stress,98304.000000,78653.600000,49164.000000,98304.000000,77.950000,88.980000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,mmio_only_trace,long,12288.000000,9834.400000,6144.000000,12288.000000,94.980000,97.490000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,mmio_only_trace,medium,3072.000000,2461.600000,1536.000000,3072.000000,97.600000,98.800000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,mmio_only_trace,short,768.000000,618.400000,384.000000,768.000000,96.960000,98.480000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,mmio_only_trace,smoke,768.000000,466.400000,12.000000,768.000000,94.220000,97.110000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,mmio_only_trace,stress,49152.000000,39325.600000,24576.000000,49152.000000,88.980000,94.490000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,pc_only_trace,long,122384.000000,81658.933333,20544.000000,122392.000000,50.000000,75.000000,75,detailed CSV marks each row measured_or_estimated
baseline,trace_or_snapshot,pc_only_trace,medium,63912.000000,40429.600000,5184.000000,63916.000000,50.000000,75.000000,75,detailed CSV marks each row measured_or_estimated
