benchmark,variant,seed,workload_scale,buffer_depth,baseline,bytes,events,replay_success,property_match,final_signature_match,event_match,reduction_vs_full_instruction_pct,reduction_vs_full_commit_pct,reduction_vs_snapshot_pct,diagnostic_context_available,notes
sensor_threshold_bug,failing,1,smoke,256,full_instruction_trace,248,31,false,NA,NA,NA,0.00,50.00,93.95,false,ESTIMATED formula=commits*(pc+instruction=8B)
sensor_threshold_bug,failing,1,smoke,256,full_commit_trace,496,31,false,NA,NA,NA,-100.00,0.00,87.89,false,ESTIMATED formula=commits*(pc+instruction+register-digest=16B)
sensor_threshold_bug,failing,1,smoke,256,pc_only_trace,124,31,false,NA,NA,NA,50.00,75.00,96.97,false,ESTIMATED formula=commits*pc32
sensor_threshold_bug,failing,1,smoke,256,branch_trace,48,4,false,NA,NA,NA,80.65,90.32,98.83,false,ESTIMATED formula=branch/jump events*(type+pc+target=12B)
sensor_threshold_bug,failing,1,smoke,256,riscv_etrace_branch_trace_estimate,24,4,false,NA,NA,NA,90.32,95.16,99.41,false,ESTIMATED RISC-V E-Trace/N-Trace-style branch stream; formula=branch/jump events*4B + 64-commit sync packets*8B
sensor_threshold_bug,failing,1,smoke,256,load_store_trace,60,5,false,NA,NA,NA,75.81,87.90,98.54,false,ESTIMATED formula=load/store/MMIO events*(type+addr+data=12B)
sensor_threshold_bug,failing,1,smoke,256,mmio_only_trace,12,1,false,NA,NA,NA,95.16,97.58,99.71,false,ESTIMATED formula=MMIO read/write events*(type+addr+data=12B)
sensor_threshold_bug,failing,1,smoke,256,interrupt_only_trace,0,0,false,NA,NA,NA,100.00,100.00,100.00,false,ESTIMATED formula=interrupt events*(type+pc+commit=12B)
sensor_threshold_bug,failing,1,smoke,256,interrupt_plus_mmio_trace,12,1,false,NA,NA,NA,95.16,97.58,99.71,false,ESTIMATED formula=(interrupt+MMIO events)*12B
sensor_threshold_bug,failing,1,smoke,256,snapshot_at_failure,4096,1,false,NA,NA,NA,-1551.61,-725.81,0.00,true,ESTIMATED fixed 4KiB state snapshot at failure
sensor_threshold_bug,failing,1,smoke,256,replaycapsule_core,189,9,true,PASS,PASS,PASS,23.79,61.90,95.39,true,MEASURED from workload_scaling capsule_bytes
