benchmark,variant,seed,workload_scale,buffer_depth,measured_buffer_depth,events,capsule_bytes,overflow,replay_available,replay_status,cycles_to_failure,commits_to_failure,notes
sensor_threshold_bug,failing,1,smoke,4,256,9,84.000000,true,false,OVERFLOW,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,8,256,9,168.000000,true,false,OVERFLOW,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,16,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,32,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,64,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,128,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,256,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,512,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,1024,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,2048,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,4096,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,8192,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,1,smoke,16384,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,2,smoke,4,256,9,84.000000,true,false,OVERFLOW,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,2,smoke,8,256,9,168.000000,true,false,OVERFLOW,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,2,smoke,16,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
sensor_threshold_bug,failing,2,smoke,32,256,9,189.000000,false,true,PASS,128,31,ANALYTIC from measured event_count only when source row did not overflow; source-overflow rows are conservative UNKNOWN above measured depth
